date,product_id,category,units_sold,units_ordered,price,discount(%),weather,season,demand,promotion,holiday,product_name,sales,year,month,quarter,dayofweek,weekofyear,is_holiday_season,promotion_flag,lag_1,rolling_mean_7,rolling_mean_30,growth_rate
2022-01-09,P020,Stationary,10,13,50,0,Cold,Winter,High,No,Yes,Adidas Originals Hoodie,500.0,2022,1,2022Q1,6,1,0,0,,500.0,500.0,0.0
2022-01-09,P040,Sweets,11,11,600,0,Cold,Winter,Medium,No,Yes,Adidas Originals Hoodie,6600.0,2022,1,2022Q1,6,1,0,0,500.0,3550.0,3550.0,12.2
2022-01-16,P033,Clothes,14,14,899,0,Cold,Winter,High,No,Yes,Adidas Originals Hoodie,12586.0,2022,1,2022Q1,6,2,0,0,6600.0,6562.0,6562.0,0.906969696969697
2022-01-16,P022,Travel Necessaries,2,2,2500,0,Cold,Winter,Medium,No,Yes,Adidas Originals Hoodie,5000.0,2022,1,2022Q1,6,2,0,0,12586.0,6171.5,6171.5,-0.6027331956141745
2022-01-26,P002,Clothes,13,14,1499,0,Cold,Winter,High,No,No,Adidas Originals Hoodie,19487.0,2022,1,2022Q1,2,4,0,0,5000.0,8834.6,8834.6,2.8974
2022-02-01,P022,Travel Necessaries,6,8,2500,0,Sunny,Winter,High,No,No,Adidas Originals Hoodie,15000.0,2022,2,2022Q1,1,5,0,0,19487.0,9862.166666666666,9862.166666666666,-0.23025606814799615
2022-02-02,P034,Stationary,7,7,1200,0,Cold,Winter,Medium,No,No,Adidas Originals Hoodie,8400.0,2022,2,2022Q1,2,5,0,0,15000.0,9653.285714285714,9653.285714285714,-0.43999999999999995
2022-02-05,P013,Utilities,2,5,300,0,Cold,Winter,Medium,No,Yes,Adidas Originals Hoodie,600.0,2022,2,2022Q1,5,5,0,0,8400.0,9667.57142857143,8521.625,-0.9285714285714286
2022-02-13,P002,Clothes,16,18,1499,0,Cold,Winter,High,No,Yes,Adidas Originals Hoodie,23984.0,2022,2,2022Q1,6,6,0,0,600.0,12151.0,10239.666666666666,38.973333333333336
2022-02-21,P021,Travel Necessaries,1,3,700,0,Cold,Winter,Low,No,No,Adidas Originals Hoodie,700.0,2022,2,2022Q1,0,8,0,0,23984.0,10453.0,9285.7,-0.9708138759172782
