date,forecast_best,product_name
2024-12-29,7465.21533203125,Adidas Originals Hoodie
2024-12-30,7949.39794921875,Adidas Originals Hoodie
2024-12-31,8209.8623046875,Adidas Originals Hoodie
2025-01-01,7880.67333984375,Adidas Originals Hoodie
2025-01-02,7934.779296875,Adidas Originals Hoodie
2025-01-03,7752.2021484375,Adidas Originals Hoodie
2025-01-04,7798.7587890625,Adidas Originals Hoodie
2025-01-05,7815.29150390625,Adidas Originals Hoodie
2025-01-06,7817.501953125,Adidas Originals Hoodie
2025-01-07,7816.45751953125,Adidas Originals Hoodie
2025-01-08,7814.06982421875,Adidas Originals Hoodie
2025-01-09,7813.37890625,Adidas Originals Hoodie
2025-01-10,7812.63427734375,Adidas Originals Hoodie
2025-01-11,7813.06884765625,Adidas Originals Hoodie
2025-01-12,7813.1650390625,Adidas Originals Hoodie
2025-01-13,7813.14697265625,Adidas Originals Hoodie
2025-01-14,7813.11279296875,Adidas Originals Hoodie
2025-01-15,7813.08935546875,Adidas Originals Hoodie
2025-01-16,7813.08154296875,Adidas Originals Hoodie
2025-01-17,7813.08154296875,Adidas Originals Hoodie
2025-01-18,7813.08447265625,Adidas Originals Hoodie
2025-01-19,7813.08447265625,Adidas Originals Hoodie
2025-01-20,7813.08447265625,Adidas Originals Hoodie
2025-01-21,7813.0830078125,Adidas Originals Hoodie
2025-01-22,7813.0830078125,Adidas Originals Hoodie
2025-01-23,7813.08154296875,Adidas Originals Hoodie
2025-01-24,7813.0830078125,Adidas Originals Hoodie
2025-01-25,7813.0830078125,Adidas Originals Hoodie
2025-01-26,7813.08154296875,Adidas Originals Hoodie
2025-01-27,7813.0830078125,Adidas Originals Hoodie
2024-12-31,7907.82666015625,Adidas Ultraboost 23
2025-01-01,7806.205078125,Adidas Ultraboost 23
2025-01-02,7724.96435546875,Adidas Ultraboost 23
2025-01-03,7654.87890625,Adidas Ultraboost 23
2025-01-04,7604.70849609375,Adidas Ultraboost 23
2025-01-05,7573.76025390625,Adidas Ultraboost 23
2025-01-06,7546.416015625,Adidas Ultraboost 23
2025-01-07,7548.7529296875,Adidas Ultraboost 23
2025-01-08,7552.38818359375,Adidas Ultraboost 23
2025-01-09,7554.607421875,Adidas Ultraboost 23
2025-01-10,7555.8935546875,Adidas Ultraboost 23
2025-01-11,7556.52880859375,Adidas Ultraboost 23
2025-01-12,7556.7724609375,Adidas Ultraboost 23
2025-01-13,7556.81005859375,Adidas Ultraboost 23
2025-01-14,7556.7138671875,Adidas Ultraboost 23
2025-01-15,7556.6513671875,Adidas Ultraboost 23
2025-01-16,7556.6220703125,Adidas Ultraboost 23
2025-01-17,7556.60986328125,Adidas Ultraboost 23
2025-01-18,7556.60693359375,Adidas Ultraboost 23
2025-01-19,7556.60791015625,Adidas Ultraboost 23
2025-01-20,7556.60986328125,Adidas Ultraboost 23
2025-01-21,7556.61181640625,Adidas Ultraboost 23
2025-01-22,7556.61181640625,Adidas Ultraboost 23
2025-01-23,7556.61181640625,Adidas Ultraboost 23
2025-01-24,7556.61181640625,Adidas Ultraboost 23
2025-01-25,7556.61181640625,Adidas Ultraboost 23
2025-01-26,7556.61181640625,Adidas Ultraboost 23
2025-01-27,7556.61181640625,Adidas Ultraboost 23
2025-01-28,7556.61181640625,Adidas Ultraboost 23
2025-01-29,7556.61181640625,Adidas Ultraboost 23
2024-12-27,19611.138671875,Apple Watch Series 9
2024-12-28,19462.994140625,Apple Watch Series 9
2024-12-29,19531.953125,Apple Watch Series 9
2024-12-30,19449.826171875,Apple Watch Series 9
2024-12-31,19397.03515625,Apple Watch Series 9
2025-01-01,19470.837890625,Apple Watch Series 9
2025-01-02,19432.701171875,Apple Watch Series 9
2025-01-03,19433.87109375,Apple Watch Series 9
2025-01-04,19435.43359375,Apple Watch Series 9
2025-01-05,19436.07421875,Apple Watch Series 9
2025-01-06,19436.484375,Apple Watch Series 9
2025-01-07,19436.546875,Apple Watch Series 9
2025-01-08,19436.384765625,Apple Watch Series 9
2025-01-09,19436.568359375,Apple Watch Series 9
2025-01-10,19436.5234375,Apple Watch Series 9
